动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-03-17 04:15:17,'2026031704151228867468995681,入账,16.52,聚合账户,货款结算入账,精选联盟,'6951109274755339917,'6951109274755339917,'SS76169487802693227920169,2026-03-06 18:35:53,'3758953782172582348,亲子互动搞笑聚会休闲整蛊搞怪多人桌面游戏挤痘痘喷水解压玩具,'2181044974394653,多宝爱玩具🧸,普通订单,18.36,0,0,0,0,0,0,0,0,0,0,0,-0.92,-0.92,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-17 04:15:17,'2026031704151117546120115681,入账,12.5,聚合账户,货款结算入账,精选联盟,'6950977305099637793,'6950977305099637793,'SS76169556474066537060172,2026-03-01 07:44:04,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,13.9,0,0,0,0,0,0,0,0,0,0,0,-0.7,-0.7,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-17 08:40:41,'2026031708403609318446145681,入账,6.95,聚合账户,货款结算入账,小店自卖,'6951089320043091222,'6951089320043091222,'SS76169487881627448700208,2026-03-06 13:37:24,'3758772313210880396,女孩睡眠仿真重生娃娃女孩公主睡觉儿童玩具bjd洋娃娃过家家玩具,,,普通订单,6.99,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,佛山市南海区悦人生贸易商行,订单结算
2026-03-17 08:40:41,'2026031708403835404193645681,入账,6.8,聚合账户,货款结算入账,小店自卖,'6951075384017032210,'6951075384017032210,'SS76169487881589437790047,2026-03-06 10:57:16,'3703671597891191029,儿童口腔牙科小医生护士医疗玩具 仿真牙医套装过家家,,,普通订单,2.84,0,0,4,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,佛山市南海区悦人生贸易商行,订单结算
2026-03-17 08:40:41,'2026031708403905958743145681,入账,10.6,聚合账户,货款结算入账,小店自卖,'6924692398682898148,'6924692398682898148,'SS76170103973477790810148,2026-03-06 20:22:22,'3696633482311762359,亲子儿童趣味战舰海舰棋船游戏棋陆地军事战略海战棋双人对战玩具,,,普通订单,9.66,0,0,1,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,佛山市南海区悦人生贸易商行,订单结算
2026-03-18 05:11:47,'2026031805114010708099025681,入账,14.3,聚合账户,货款结算入账,精选联盟,'6951242524807206825,'6951242524807206825,'SS76174255726249418500184,2026-03-12 13:15:09,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'2194237569378187,大脸猫爱吃鱼,普通订单,15.9,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.8,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-18 05:35:24,'2026031805352127896428045681,入账,6.95,聚合账户,货款结算入账,小店自卖,'6924700625010851222,'6924700625010851222,'SS76173218914974932860035,2026-03-07 17:06:15,'3758772313210880396,女孩睡眠仿真重生娃娃女孩公主睡觉儿童玩具bjd洋娃娃过家家玩具,,,普通订单,6.99,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,佛山市南海区悦人生贸易商行,订单结算
2026-03-18 08:18:40,'2026031808183716868316665681,入账,6.95,聚合账户,货款结算入账,小店自卖,'6924797689240387166,'6924797689240387166,'SS76174672038137247230208,2026-03-11 22:18:14,'3758772313210880396,女孩睡眠仿真重生娃娃女孩公主睡觉儿童玩具bjd洋娃娃过家家玩具,,,普通订单,6.99,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,佛山市南海区悦人生贸易商行,订单结算
2026-03-18 08:53:01,'2026031808525800009510665681,入账,7.57,聚合账户,货款结算入账,小店自卖,'6951113463417869592,'6951113463417869592,'SS76173218766418577920211,2026-03-07 23:27:34,'3696061877965685066,儿童整蛊马桶投粑粑趣味马桶创意恶搞新奇特桌面游戏亲子互动玩具,,,普通订单,1.62,0,0,6,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,佛山市南海区悦人生贸易商行,订单结算
2026-03-18 09:23:25,'2026031809232018087982585681,入账,29.72,聚合账户,货款结算入账,小店自卖,'6951117374876882291,'6951117374876882291,'SS76173218885780605950023,2026-03-07 17:00:33,'3783268384439926958,新品儿童过家家仿真加油站玩具汽车场景刷卡自动加油机男孩玩具,,,普通订单,29.9,0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,是-商品卡免佣,1.32,佛山市南海区悦人生贸易商行,订单结算
