平台,商品名称,抓取数据日期,今日销量,近7天销量,近30天销量,平台库存,在途库存,sku,店铺
TEMU,"Mouse trap game, interactive mouse catcher game, party funny prank game,Don't be caught by its cheese trap mousetrap toy",1777348762766,0,0.0,1.0,3,0,007-266,101-Temu全托管
TEMU,"Tumbler balancing pig, novelty tightrope walking spinning top cup, cute, balancing pig toy top, suitable as a gift for a child",1777348762766,0,0.0,2.0,0,0,PHZ-pk,101-Temu全托管
TEMU,儿童厨房玩具假装模拟电动洗碗机儿童厨房洗脸盆水槽角色扮演玩具4个季节可用男孩女孩礼物,1777348762766,0,12.0,33.0,6,11,829A,101-Temu全托管
TEMU,儿童厨房玩具假装模拟电动洗碗机儿童厨房洗脸盆水槽角色扮演玩具4个季节可用男孩女孩礼物,1777348762766,0,14.0,60.0,21,0,829C,101-Temu全托管
TEMU,"Six-finger lie detector, finger stress relief prank game, gag fun toy, suitable for multiplayer stress-relief party games",1777348762766,0,0.0,0.0,1,0,ZCCH-H,101-Temu全托管
TEMU,平衡树玩具亲子教育互动桌面派对婚礼游戏儿童桌游礼物 ，适合11个季度的有趣游戏,1777348762766,0,0.0,0.0,5,0,zcphs-opp,101-Temu全托管
TEMU,"Baby Rattles Bubble Fidget Sensory Toys Silicone Pull String Activity Toy for Toddlers, Learning & Educational Toys for Kids",1777348762766,0,0.0,0.0,5,0,HLX205A,101-Temu全托管
TEMU,"Game buzzers with lights and sound effects, party competition and quiz props, multiplayer entertainment toys, atmosphere props",1777348762766,8,28.0,83.0,47,0,ZC808H,101-Temu全托管
TEMU,"Wind-up spinning corn toy, cartoon dancing corn toy, dynamic mini educational toy, suitable for indoor and outdoor play",1777348762766,1,6.0,110.0,5,20,ym001-opp,101-Temu全托管
TEMU,"Handheld portable insect catcher, outdoor adventure insect observation box, insect viewer, suitable for indoor and outdoor use",1777348762766,0,0.0,0.0,5,0,BCQ-gr,101-Temu全托管
TEMU,balance tree toys leisure parent-child interaction game,1777348762766,0,0.0,0.0,1,0,zcphs-opp,101-Temu全托管
TEMU,"Fidget spinner toy, cube game, handheld stress-relief spinner for children, handheld cube stress-relief toy, everyday entertainment and stress relief, educational toy",1777348762766,0,0.0,0.0,6,0,ZCSBTLMF-lv,101-Temu全托管
TEMU,"Fidget spinner toy, cube game, handheld stress-relief spinner for children, handheld cube stress-relief toy, everyday entertainment and stress relief, educational toy",1777348762766,0,0.0,4.0,9,0,ZCSBTLMF-hei,101-Temu全托管
TEMU,"Intelligent board rainbow ball game, parent-child showdown, educational rainbow beads set for children",1777348762766,0,0.0,0.0,5,0,HZ-040,101-Temu全托管
TEMU,"Educational hide-and-seek toy, multifunctional sensory toy, children’s pop-up animal sorting by color, parent-child interactive toy",1777348762766,0,0.0,0.0,6,0,DMM-jt,101-Temu全托管
TEMU,"Infant Suction Cup Spinner Toy Sets Rotating Rattle Bath Shower Toys for Kids, 3pcs Suction Cups Spinning Top Toy for Boys Girls",1777348762766,0,0.0,0.0,0,5,J002,101-Temu全托管
TEMU,Kids Toys Clockwork Beetle Toy Artificial Beetle Trickster Toy,1777348762766,0,0.0,0.0,1,0,SLJC-jin,101-Temu全托管
TEMU,Kids Toys Clockwork Beetle Toy Artificial Beetle Trickster Toy,1777348762766,0,0.0,0.0,1,0,SLJC-hon,101-Temu全托管
TEMU,Matching Number Shape Clock Cognition Learning Toys for Kids Logice Thinking Matching Game Toy Hand Eye Coordination Educational Toys,1777348762766,0,0.0,0.0,6,0,018,101-Temu全托管
TEMU,7Pcs Kids Educational Cube Shape Matching Stacking Learning Toys Puzzles Game Colorful Blocks Sorting Game Baby Toys Gift,1777348767040,0,0.0,1.0,0,0,SGSSL-1,101-Temu全托管
TEMU,"Prank Noise Maker Sound Effects Machine, 16 Different Styles Of Prank Sound Effects, Fun Gift, Easter Family Party",1777348767040,0,68.0,168.0,8,75,zgyxj-2001-4,101-Temu全托管
TEMU,"Children's Balance Tower and Saber Stick Game, Educational Parent-Child Interactive Game for Children, Multiple Ways to Play, Suitable as a Gift for Twelve Holidays",1777348767040,0,0.0,0.0,5,0,2026B1,101-Temu全托管
TEMU,"Mini Walkie Talkie Toys for 2 Pack, Kids Portable Radio Receiver Walkie Talkies for Indoor Outdoor Camping Hiking Playing Toy",1777348767040,0,10.0,37.0,16,4,77-38A,101-Temu全托管
TEMU,"Mini Walkie Talkie Toys for 2 Pack, Kids Portable Radio Receiver Walkie Talkies for Indoor Outdoor Camping Hiking Playing Toy",1777348767040,0,12.0,27.0,11,9,77-39A,101-Temu全托管
TEMU,"Color classification ball game, educational classification adventure learning, parent-child interactive game, suitable as a gift for eleven festivals",1777348767040,0,0.0,2.0,8,0,33028,101-Temu全托管
TEMU,掌上赛车游戏机玩具模拟仿真赛车闯关儿童成人益智桌面互动玩具，15个节日的礼物,1777348767040,0,1.0,1.0,4,0,2005-or,101-Temu全托管
TEMU,掌上赛车游戏机玩具模拟仿真赛车闯关儿童成人益智桌面互动玩具，15个节日的礼物,1777348767040,0,2.0,2.0,3,0,2005-bl,101-Temu全托管
TEMU,"children's unlocking and matching game, featuring key pattern matching and number counting unlocking learning materials, suitable as a gift for 11 holidays",1777348767040,1,16.0,133.0,155,0,KM-3,101-Temu全托管
TEMU,"children's unlocking and matching game, featuring key pattern matching and number counting unlocking learning materials, suitable as a gift for 11 holidays",1777348767040,5,54.0,157.0,85,8,KM-3-opp,101-Temu全托管
TEMU,"Simulated shopping checkout toy, supermarket cashier toy, supermarket role-playing, parent-child interactive toy",1777348767040,3,31.0,265.0,58,0,L332-1M,101-Temu全托管
TEMU,"Simulated shopping checkout toy, supermarket cashier toy, supermarket role-playing, parent-child interactive toy",1777348767040,1,22.0,309.0,84,14,F332-1M,101-Temu全托管
TEMU,"Hand-held jumping ball, five-in-a-row game, parent-child interactive competitive throwing jump platform game",1777348767041,0,5.0,22.0,0,0,ZC-12818,101-Temu全托管
TEMU,"Busy ball children's toy, educational stacking blocks, develop fine motor skills, learning gift, parent-child interactive toy",1777348767041,0,3.0,17.0,1,0,HLX237A,101-Temu全托管
TEMU,3D动物华容路，3D迷宫挑战-可爱的宠物形状拼图，锻炼空间思维和逻辑能力，适合14个节日的礼品,1777348767041,0,0.0,4.0,0,0,E8618-Z,101-Temu全托管
TEMU,3D动物华容路，3D迷宫挑战-可爱的宠物形状拼图，锻炼空间思维和逻辑能力，适合14个节日的礼品,1777348767041,0,0.0,5.0,0,0,E8618-M,101-Temu全托管
TEMU,3D动物华容路，3D迷宫挑战-可爱的宠物形状拼图，锻炼空间思维和逻辑能力，适合14个节日的礼品,1777348767041,0,0.0,0.0,5,0,E8618-X,101-Temu全托管
TEMU,"IQ board game, classic pyramid board pearl toy for children’s logical thinking, helps develop kids' brain growth",1777348767041,0,6.0,46.0,72,0,007,101-Temu全托管
TEMU,"Creative Dinosaur Suction Cup Spinning Toy, Rotating Bath Toy, Cartoon Bath Table Finger Education Toy",1777348771293,0,0.0,0.0,5,0,SS9900,101-Temu全托管
TEMU,"Matching flower pots, educational matching flower pots, training logic and imagination, potted plant assembly toy",1777348771293,0,0.0,3.0,5,0,YX008,101-Temu全托管
TEMU,"Cute lion basketball stand, indoor mini basketball stand, adjustable height, indoor exercise basketball stand, indoor sports toy suitable for multiple people.",1777348771294,0,0.0,1.0,3,0,709-sz-h,101-Temu全托管
TEMU,"Mini swimming doll, children's bath toy, wind-up knob toy, baby bathtime toy, kids' gift",1777348771294,4,41.0,115.0,16,0,999-bl,101-Temu全托管
