平台,商品名称,抓取数据日期,今日销量,近7天销量,近30天销量,平台库存,在途库存,sku,店铺
TEMU,3D动物华容路，3D迷宫挑战-可爱的宠物形状拼图，锻炼空间思维和逻辑能力，适合14个节日的礼品,1776657626611,0,3.0,4.0,0,0,E8618-M,101-Temu全托管
TEMU,3D动物华容路，3D迷宫挑战-可爱的宠物形状拼图，锻炼空间思维和逻辑能力，适合14个节日的礼品,1776657626611,0,0.0,0.0,5,0,E8618-X,101-Temu全托管
TEMU,"IQ board game, classic pyramid board pearl toy for children’s logical thinking, helps develop kids' brain growth",1776657626611,0,35.0,40.0,3,50,007,101-Temu全托管
TEMU,"Creative Dinosaur Suction Cup Spinning Toy, Rotating Bath Toy, Cartoon Bath Table Finger Education Toy",1776657626611,0,0.0,0.0,5,0,SS9900,101-Temu全托管
TEMU,"Matching flower pots, educational matching flower pots, training logic and imagination, potted plant assembly toy",1776657626611,0,0.0,3.0,5,0,YX008,101-Temu全托管
TEMU,"Cute lion basketball stand, indoor mini basketball stand, adjustable height, indoor exercise basketball stand, indoor sports toy suitable for multiple people.",1776657630774,0,1.0,1.0,3,0,709-sz-h,101-Temu全托管
TEMU,"Mini swimming doll, children's bath toy, wind-up knob toy, baby bathtime toy, kids' gift",1776657630774,6,32.0,107.0,35,18,999-bl,101-Temu全托管
TEMU,"Mini swimming doll, children's bath toy, wind-up knob toy, baby bathtime toy, kids' gift",1776657630774,3,20.0,75.0,23,11,999-gr,101-Temu全托管
TEMU,"Mini swimming doll, children's bath toy, wind-up knob toy, baby bathtime toy, kids' gift",1776657630774,0,48.0,105.0,0,30,999-pk,101-Temu全托管
TEMU,"Art making kit for girls, DIY multi-color imitation diamond bracelet kit for kids",1776657630774,1,12.0,68.0,34,0,KSY931,101-Temu全托管
TEMU,"Tabletop ping pong game, a tool for children to practice lung capacity, parent-child interactive toy, desktop cup ball game, party and gathering game",1776657630774,0,0.0,0.0,0,5,ST1959A,101-Temu全托管
TEMU,Children's Cartoon Fun Engineering Inertia Car with Impact Resistance Small Car Children's Gift Car Model Toy,1776657630774,0,0.0,1.0,0,0,1855-1,101-Temu全托管
TEMU,Kawaii 11cm Simulation Rebirth Dolls Toy Mini Cute Sleeping Baby Series Doll Cartoon Animal Toy For Kids Birthday Gift,1776657630774,3,16.0,89.0,176,0,smww-ml,101-Temu全托管
TEMU,Kawaii 11cm Simulation Rebirth Dolls Toy Mini Cute Sleeping Baby Series Doll Cartoon Animal Toy For Kids Birthday Gift,1776657630774,16,192.0,862.0,343,102,smww-tz,101-Temu全托管
TEMU,Kawaii 11cm Simulation Rebirth Dolls Toy Mini Cute Sleeping Baby Series Doll Cartoon Animal Toy For Kids Birthday Gift,1776657630774,2,95.0,262.0,123,52,smww-mf,101-Temu全托管
TEMU,Kawaii 11cm Simulation Rebirth Dolls Toy Mini Cute Sleeping Baby Series Doll Cartoon Animal Toy For Kids Birthday Gift,1776657630774,11,142.0,603.0,250,0,smww-xx,101-Temu全托管
