2026-01-22 12:00:34,704 | INFO | temu_site | 开始清除昨天报表的数据
2026-01-22 12:00:36,736 | INFO | temu_site | 
 删除所有记录
2026-01-22 12:00:40,832 | INFO | temu_site | 删除所有记录结果: 工作表为空，无需删除
2026-01-22 12:00:40,832 | INFO | temu_site | 开始清除今天报表的数据
2026-01-22 12:00:42,853 | INFO | temu_site | 
 删除所有记录
2026-01-22 12:00:46,943 | INFO | temu_site | 删除所有记录结果: 工作表为空，无需删除
2026-01-22 12:00:46,944 | INFO | temu_site | 正在爬取店铺---2106-Temu全托管---skc_sku_violate数据
2026-01-22 12:00:48,988 | ERROR | temu_site | [2106-Temu全托管] 请求失败（第 1 次）: HTTPSConnectionPool(host='agentseller.temu.com', port=443): Max retries exceeded with url: /api/kiana/mms/robin/searchForChainSupplier (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=8080): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-01-22 12:01:06,877 | INFO | temu_site | 开始清除昨天报表的数据
2026-01-22 12:01:07,323 | INFO | temu_site | 
 删除所有记录
2026-01-22 12:01:21,624 | INFO | temu_site | 删除所有记录结果: None
2026-01-22 12:01:21,624 | INFO | temu_site | 开始清除今天报表的数据
2026-01-22 12:01:21,625 | INFO | temu_site | 
 删除所有记录
2026-01-22 12:02:16,039 | INFO | temu_site | 删除所有记录结果: None
2026-01-22 12:02:16,040 | INFO | temu_site | 正在爬取店铺---2106-Temu全托管---skc_sku_violate数据
2026-01-22 12:02:31,872 | ERROR | temu_site | [2106-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-22 12:03:13,885 | INFO | temu_site | 店铺---2106-Temu全托管---没有违规数据
2026-01-22 12:03:13,888 | INFO | temu_site | 店铺---2106-Temu全托管---没有违规数据，跳过
2026-01-22 12:03:13,888 | INFO | temu_site | 正在爬取店铺---2105-Temu全托管---skc_sku_violate数据
