2026-04-20 10:04:32,155 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第4页的数据
2026-04-20 10:04:32,323 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-04-20 10:04:32,323 | INFO | YmxNews | 线程 YmxThread_2 德国第4页获取到100条数据，累计400条
2026-04-20 10:04:32,946 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:04:32,947 | INFO | YmxNews | 线程 YmxThread_0 美国第4页获取到100条数据，累计400条
2026-04-20 10:04:33,339 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第5页的数据
2026-04-20 10:04:33,817 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存7条数据到文件
2026-04-20 10:04:33,817 | INFO | YmxNews | 线程 YmxThread_2 德国第5页获取到7条数据，累计407条
2026-04-20 10:04:33,950 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第5页的数据
2026-04-20 10:04:34,830 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第6页的数据
2026-04-20 10:04:34,836 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:04:34,836 | INFO | YmxNews | 线程 YmxThread_0 美国第5页获取到100条数据，累计500条
2026-04-20 10:04:35,262 | INFO | YmxNews | 线程 YmxThread_2 德国第6页无数据，停止爬取
2026-04-20 10:04:35,263 | INFO | YmxNews | 线程 YmxThread_2 德国爬取完成，共获取407条数据
2026-04-20 10:04:35,848 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第6页的数据
2026-04-20 10:04:36,755 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:04:36,755 | INFO | YmxNews | 线程 YmxThread_0 美国第6页获取到100条数据，累计600条
2026-04-20 10:04:37,772 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第7页的数据
2026-04-20 10:04:44,785 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:04:44,786 | INFO | YmxNews | 线程 YmxThread_0 美国第7页获取到100条数据，累计700条
2026-04-20 10:04:45,799 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第8页的数据
2026-04-20 10:04:46,674 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:04:46,675 | INFO | YmxNews | 线程 YmxThread_0 美国第8页获取到100条数据，累计800条
2026-04-20 10:04:47,685 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第9页的数据
2026-04-20 10:04:48,583 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:04:48,583 | INFO | YmxNews | 线程 YmxThread_0 美国第9页获取到100条数据，累计900条
2026-04-20 10:04:49,599 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第10页的数据
2026-04-20 10:05:03,447 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-04-20 10:05:03,447 | INFO | YmxNews | 线程 YmxThread_0 美国第10页获取到100条数据，累计1000条
2026-04-20 10:05:04,453 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第11页的数据
