2026-01-20 15:25:48,808 | INFO | search_factory | ✅ 宜采抓取完成：10 条
2026-01-20 15:25:50,359 | INFO | search_factory | ✅ 浏览器初始化成功
2026-01-20 15:26:07,812 | INFO | search_factory | storage_state 已保存到 D:\sd14\Factory_sourcing\data\cookies\xiaoniaoyun_storage.json
2026-01-20 15:26:07,812 | INFO | search_factory | ✅ 登录成功并保存 storage_state
2026-01-20 15:26:10,195 | INFO | search_factory | ✅ 图片 D:\sd14\Factory_sourcing\data\img\people.jpg 上传完成
2026-01-20 15:26:12,845 | INFO | search_factory | 正在处理我们要发送的图片
2026-01-20 15:26:14,652 | INFO | search_factory | ✅ 搜索接口返回 10 条结果
2026-01-20 15:26:14,652 | INFO | search_factory | ✅ 图片 D:\sd14\Factory_sourcing\data\img\people.jpg 搜索完成，找到 10 条结果
2026-01-20 15:26:14,652 | INFO | search_factory | 📨 给厂家发送消息：红盟潮玩
2026-01-20 15:26:20,289 | WARNING | search_factory | ⚠️ 商品 6021814 未出现「发起聊天」按钮，跳过发送消息
2026-01-20 15:26:20,366 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:26:20,366 | INFO | search_factory | 📨 给厂家发送消息：乐宝（娃娃）
2026-01-20 15:26:25,745 | INFO | search_factory | ✅ 商品 6085399 已成功发送消息
2026-01-20 15:26:25,803 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:26:25,871 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:26:25,872 | INFO | search_factory | 📨 给厂家发送消息：裕兴隆
2026-01-20 15:26:31,178 | INFO | search_factory | ✅ 商品 4732949 已成功发送消息
2026-01-20 15:26:31,248 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:26:31,315 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:26:31,315 | INFO | search_factory | ⏭ 已发送过，跳过厂家：乐宝（娃娃）
2026-01-20 15:26:31,315 | INFO | search_factory | 📨 给厂家发送消息：实发玩具
2026-01-20 15:26:36,676 | INFO | search_factory | ✅ 商品 6040250 已成功发送消息
2026-01-20 15:26:36,734 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:26:36,803 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:26:36,803 | INFO | search_factory | 📨 给厂家发送消息：星动
2026-01-20 15:26:42,099 | INFO | search_factory | ✅ 商品 4319808 已成功发送消息
2026-01-20 15:26:42,150 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:26:42,219 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:26:42,219 | INFO | search_factory | 📨 给厂家发送消息：嘉多宝玩具厂
2026-01-20 15:26:47,866 | WARNING | search_factory | ⚠️ 商品 4879246 未出现「发起聊天」按钮，跳过发送消息
2026-01-20 15:26:47,936 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:26:47,936 | INFO | search_factory | 📨 给厂家发送消息：天奇玩具
2026-01-20 15:26:53,311 | INFO | search_factory | ✅ 商品 5000548 已成功发送消息
2026-01-20 15:26:53,368 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:26:53,433 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:26:53,434 | INFO | search_factory | ⏭ 已发送过，跳过厂家：天奇玩具
2026-01-20 15:26:53,434 | INFO | search_factory | 📨 给厂家发送消息：信达手办玩具
2026-01-20 15:26:59,095 | WARNING | search_factory | ⚠️ 商品 5003858 未出现「发起聊天」按钮，跳过发送消息
2026-01-20 15:26:59,171 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:26:59,854 | INFO | search_factory | 浏览器已关闭
