2026-03-03 11:51:23,617 | INFO | financial_data | 108-Temu全托管 - 进入财务页面
2026-03-03 11:51:29,270 | INFO | financial_data | 有数据，总共 607 条
2026-03-03 11:51:31,381 | INFO | financial_data | 检测到任务已存在，尝试从导出历史中下载
2026-03-03 11:51:31,381 | INFO | financial_data | 108-Temu全托管 - 尝试从导出历史中下载文件
2026-03-03 11:51:32,599 | INFO | financial_data | 108-Temu全托管 - 从历史中下载: 下载财务明细(全球)
2026-03-03 11:51:35,165 | INFO | financial_data | 确认授权并前往
2026-03-03 11:51:49,477 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\108-Temu全托管_02_全球.xlsx
2026-03-03 11:51:50,520 | INFO | financial_data | 108-Temu全托管 - 从历史中下载: 下载财务明细(欧区)
2026-03-03 11:51:52,727 | INFO | financial_data | 确认授权并前往
2026-03-03 11:52:13,645 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\108-Temu全托管_02_欧区.xlsx
2026-03-03 11:52:14,672 | INFO | financial_data | 108-Temu全托管 - 从历史中下载: 下载财务明细(美国)
2026-03-03 11:52:17,183 | INFO | financial_data | 确认授权并前往
2026-03-03 11:52:29,786 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\108-Temu全托管_02_美国.xlsx
2026-03-03 11:52:30,814 | INFO | financial_data | ✅ 108-Temu全托管 - 所有财务数据从历史下载完成
2026-03-03 11:52:30,815 | INFO | financial_data | 从历史记录下载完成
2026-03-03 11:52:30,816 | INFO | financial_data | 108-Temu全托管 - 登录成功（第 1 次）
2026-03-03 12:20:40,259 | INFO | financial_data | --------------------------正在下载2026-02的数据------------------------------
2026-03-03 12:20:40,259 | INFO | financial_data | --------------正在爬取店铺2106-Temu全托管----的数据
2026-03-03 12:20:40,259 | INFO | financial_data | 2106-Temu全托管 - 第 1 次登录尝试
2026-03-03 12:20:44,004 | INFO | financial_data | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '63724', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 3200, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 12:20:44,005 | INFO | financial_data | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 63724
2026-03-03 12:20:45,373 | INFO | financial_data | 2106-Temu全托管 - 已连接浏览器
2026-03-03 12:20:46,504 | INFO | financial_data | --------------------2106-Temu全托管 ------------------------ 开始登录...
2026-03-03 12:21:39,767 | INFO | financial_data | --------------------------正在下载2026-02的数据------------------------------
2026-03-03 12:21:39,767 | INFO | financial_data | --------------正在爬取店铺2106-Temu全托管----的数据
2026-03-03 12:21:39,767 | INFO | financial_data | 2106-Temu全托管 - 第 1 次登录尝试
2026-03-03 12:21:40,303 | INFO | financial_data | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '63724', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 59500, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 12:21:40,303 | INFO | financial_data | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 63724
2026-03-03 12:21:41,661 | INFO | financial_data | 2106-Temu全托管 - 已连接浏览器
2026-03-03 12:21:41,792 | INFO | financial_data | --------------------2106-Temu全托管 ------------------------ 开始登录...
2026-03-03 12:21:45,089 | INFO | financial_data | 2106-Temu全托管 - 等待 agentseller Cookie 生效
2026-03-03 12:21:58,381 | INFO | financial_data | 2106-Temu全托管 - 进入财务页面
2026-03-03 12:22:07,803 | INFO | financial_data | 有数据，总共 536 条
2026-03-03 12:22:09,850 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-03-03 12:22:10,680 | INFO | financial_data | 2106-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-03-03 12:22:20,588 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\temu\2106-Temu全托管_02_卖家中心.xlsx
2026-03-03 12:22:21,590 | INFO | financial_data | 2106-Temu全托管 - 准备下载: 下载财务明细(全球)
2026-03-03 12:22:24,155 | INFO | financial_data | 确认授权并前往
2026-03-03 12:22:38,762 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2106-Temu全托管_02_全球.xlsx
2026-03-03 12:22:39,804 | INFO | financial_data | 2106-Temu全托管 - 准备下载: 下载财务明细(欧区)
2026-03-03 12:22:42,183 | INFO | financial_data | 确认授权并前往
2026-03-03 12:22:59,828 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2106-Temu全托管_02_欧区.xlsx
2026-03-03 12:23:00,866 | INFO | financial_data | 2106-Temu全托管 - 准备下载: 下载财务明细(美国)
2026-03-03 12:23:03,099 | INFO | financial_data | 确认授权并前往
2026-03-03 12:23:13,558 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\2106-Temu全托管_02_美国.xlsx
2026-03-03 12:23:14,586 | INFO | financial_data | ✅ 2106-Temu全托管 - 所有财务数据下载完成
2026-03-03 12:23:14,586 | INFO | financial_data | 全部报表下载完成
2026-03-03 12:23:14,586 | INFO | financial_data | 2106-Temu全托管 - 登录成功（第 1 次）
2026-03-03 12:23:15,756 | INFO | financial_data | --------------正在爬取店铺2103-Temu全托管----的数据
2026-03-03 12:23:15,757 | INFO | financial_data | 2103-Temu全托管 - 第 1 次登录尝试
2026-03-03 12:23:19,370 | INFO | financial_data | 2103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'cdgoddilnfionjljedagnobpdkhcnpii', 'browserID': 99890331, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '64441', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2103店（113店改）+2108店+半托6号店+半托8号店', 'duplicate': 3142, 'ip': '1.194.218.235', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 99890331, 'containerCode': '1006903311', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 12:23:19,370 | INFO | financial_data | 2103-Temu全托管 - 浏览器启动成功, 调试端口: 64441
2026-03-03 12:23:20,717 | INFO | financial_data | 2103-Temu全托管 - 已连接浏览器
2026-03-03 12:23:21,169 | INFO | financial_data | --------------------2103-Temu全托管 ------------------------ 开始登录...
2026-03-03 12:23:26,118 | INFO | financial_data | 2103-Temu全托管 - 等待 agentseller Cookie 生效
2026-03-03 12:23:30,351 | INFO | financial_data | 2103-Temu全托管 - 进入财务页面
2026-03-03 12:23:39,956 | INFO | financial_data | 有数据，总共 250 条
2026-03-03 12:23:42,031 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-03-03 12:23:42,869 | INFO | financial_data | 2103-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-03-03 12:23:53,315 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\temu\2103-Temu全托管_02_卖家中心.xlsx
2026-03-03 12:23:54,321 | INFO | financial_data | 2103-Temu全托管 - 准备下载: 下载财务明细(全球)
2026-03-03 12:23:56,646 | INFO | financial_data | 确认授权并前往
