2026-04-26 11:59:18,114 | INFO | temu_sale_main | 程序开始启动
2026-04-26 11:59:18,115 | INFO | temu_sale_main | ---------------------------------开始爬取temu数据-----------------------------------
2026-04-26 11:59:18,117 | INFO | temu_sale_main | 正在爬取第1页的数据
2026-04-26 11:59:20,484 | INFO | temu_sale_main | 📊 第1页获取到500条数据
2026-04-26 11:59:20,487 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:22,503 | INFO | temu_sale_main | 正在爬取第2页的数据
2026-04-26 11:59:24,617 | INFO | temu_sale_main | 📊 第2页获取到500条数据
2026-04-26 11:59:24,621 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:26,622 | INFO | temu_sale_main | 正在爬取第3页的数据
2026-04-26 11:59:29,145 | INFO | temu_sale_main | 📊 第3页获取到500条数据
2026-04-26 11:59:29,149 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:31,150 | INFO | temu_sale_main | 正在爬取第4页的数据
2026-04-26 11:59:33,387 | INFO | temu_sale_main | 📊 第4页获取到500条数据
2026-04-26 11:59:33,391 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:35,398 | INFO | temu_sale_main | 正在爬取第5页的数据
2026-04-26 11:59:37,332 | INFO | temu_sale_main | 📊 第5页获取到500条数据
2026-04-26 11:59:37,334 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:39,345 | INFO | temu_sale_main | 正在爬取第6页的数据
2026-04-26 11:59:41,311 | INFO | temu_sale_main | 📊 第6页获取到500条数据
2026-04-26 11:59:41,315 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:43,317 | INFO | temu_sale_main | 正在爬取第7页的数据
2026-04-26 11:59:45,808 | INFO | temu_sale_main | 📊 第7页获取到500条数据
2026-04-26 11:59:45,812 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:47,822 | INFO | temu_sale_main | 正在爬取第8页的数据
2026-04-26 11:59:49,736 | INFO | temu_sale_main | 📊 第8页获取到500条数据
2026-04-26 11:59:49,739 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:51,750 | INFO | temu_sale_main | 正在爬取第9页的数据
2026-04-26 11:59:53,816 | INFO | temu_sale_main | 📊 第9页获取到500条数据
2026-04-26 11:59:53,819 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:55,823 | INFO | temu_sale_main | 正在爬取第10页的数据
2026-04-26 11:59:57,918 | INFO | temu_sale_main | 📊 第10页获取到500条数据
2026-04-26 11:59:57,922 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 11:59:59,937 | INFO | temu_sale_main | 正在爬取第11页的数据
2026-04-26 12:00:01,852 | INFO | temu_sale_main | 📊 第11页获取到500条数据
2026-04-26 12:00:01,855 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 12:00:03,858 | INFO | temu_sale_main | 正在爬取第12页的数据
2026-04-26 12:00:06,483 | INFO | temu_sale_main | 📊 第12页获取到500条数据
2026-04-26 12:00:06,486 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 12:00:08,488 | INFO | temu_sale_main | 正在爬取第13页的数据
2026-04-26 12:00:10,532 | INFO | temu_sale_main | 📊 第13页获取到500条数据
2026-04-26 12:00:10,536 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 12:00:12,538 | INFO | temu_sale_main | 正在爬取第14页的数据
2026-04-26 12:00:14,639 | INFO | temu_sale_main | 📊 第14页获取到500条数据
2026-04-26 12:00:14,645 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 12:00:16,654 | INFO | temu_sale_main | 正在爬取第15页的数据
2026-04-26 12:00:18,725 | INFO | temu_sale_main | 📊 第15页获取到500条数据
2026-04-26 12:00:18,729 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 12:00:20,733 | INFO | temu_sale_main | 正在爬取第16页的数据
2026-04-26 12:00:22,761 | INFO | temu_sale_main | 📊 第16页获取到371条数据
2026-04-26 12:00:22,765 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260426.csv
2026-04-26 12:00:22,765 | INFO | temu_sale_main | ✅ 第16页为最后一页，共获取7871条
2026-04-26 12:00:22,766 | INFO | temu_sale_main | ---------------------------------开始匹配sku数据-----------------------------------
2026-04-26 12:00:23,349 | INFO | temu_sale_main | ---------------------------------开始上传数据-----------------------------------
2026-04-26 12:00:23,350 | INFO | temu_sale_main | 准备上传 430 条记录...
2026-04-26 12:00:40,745 | INFO | temu_sale_main | 
上传统计:
2026-04-26 12:00:40,746 | INFO | temu_sale_main | 总记录数: 430
2026-04-26 12:00:40,746 | INFO | temu_sale_main | 成功数量: 430
2026-04-26 12:00:40,746 | INFO | temu_sale_main | 失败数量: 0
2026-04-26 12:00:40,746 | INFO | temu_sale_main | 成功批次: 9
2026-04-26 12:00:40,746 | INFO | temu_sale_main | 失败批次: 0
2026-04-26 12:00:40,746 | INFO | temu_sale_main | 数据上传成功
2026-04-26 12:00:43,753 | INFO | temu_sale_main | ⏱️  总耗时: 85.64 秒
