2026-01-21 09:36:02,811 | INFO | YmxNews | 线程 YmxThread_1 英国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,811 | INFO | YmxNews | 线程 YmxThread_1 英国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,835 | INFO | YmxNews | 线程 YmxThread_3 (法国): 已保存100条数据到文件
2026-01-21 09:36:02,835 | INFO | YmxNews | 线程 YmxThread_3 (法国): 已保存100条数据到文件
2026-01-21 09:36:02,835 | INFO | YmxNews | 线程 YmxThread_3 (法国): 已保存100条数据到文件
2026-01-21 09:36:02,835 | INFO | YmxNews | 线程 YmxThread_3 法国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,835 | INFO | YmxNews | 线程 YmxThread_3 法国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,835 | INFO | YmxNews | 线程 YmxThread_3 法国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,880 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-01-21 09:36:02,880 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-01-21 09:36:02,880 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-01-21 09:36:02,880 | INFO | YmxNews | 线程 YmxThread_2 德国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,880 | INFO | YmxNews | 线程 YmxThread_2 德国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,880 | INFO | YmxNews | 线程 YmxThread_2 德国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,917 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-01-21 09:36:02,917 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-01-21 09:36:02,917 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
2026-01-21 09:36:02,918 | INFO | YmxNews | 线程 YmxThread_0 美国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,918 | INFO | YmxNews | 线程 YmxThread_0 美国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,918 | INFO | YmxNews | 线程 YmxThread_0 美国第1页获取到100条数据，累计100条
2026-01-21 09:36:02,919 | INFO | YmxNews | 线程 YmxThread_4 (西班牙): 已保存100条数据到文件
2026-01-21 09:36:02,919 | INFO | YmxNews | 线程 YmxThread_4 (西班牙): 已保存100条数据到文件
2026-01-21 09:36:02,919 | INFO | YmxNews | 线程 YmxThread_4 (西班牙): 已保存100条数据到文件
2026-01-21 09:36:02,919 | INFO | YmxNews | 线程 YmxThread_4 西班牙第1页获取到100条数据，累计100条
2026-01-21 09:36:02,919 | INFO | YmxNews | 线程 YmxThread_4 西班牙第1页获取到100条数据，累计100条
