2026-01-16 11:58:22,937 | INFO | temu_site | 开始清除昨天报表的数据
2026-01-16 11:58:23,419 | INFO | temu_site | 
 删除所有记录
2026-01-16 11:59:24,341 | INFO | temu_site | 删除所有记录结果: None
2026-01-16 11:59:24,341 | INFO | temu_site | 开始清除今天报表的数据
2026-01-16 11:59:24,342 | INFO | temu_site | 
 删除所有记录
2026-01-16 11:59:37,458 | INFO | temu_site | 删除所有记录结果: None
2026-01-16 11:59:37,459 | INFO | temu_site | 正在爬取店铺---2106-Temu全托管---skc_sku_violate数据
2026-01-16 11:59:38,595 | ERROR | temu_site | [2106-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-16 12:00:02,093 | INFO | temu_site | 正在爬取店铺---2106-Temu全托管---sku_site_status数据
2026-01-16 12:00:03,239 | INFO | temu_site | 正在爬取店铺---2106-Temu全托管---sku_site_exception数据
2026-01-16 12:00:04,775 | ERROR | temu_site | 处理店铺 2106-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-16 12:00:04,776 | INFO | temu_site | 正在爬取店铺---2105-Temu全托管---skc_sku_violate数据
2026-01-16 12:00:05,887 | ERROR | temu_site | [2105-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-16 12:00:27,208 | INFO | temu_site | 店铺---2105-Temu全托管---没有违规数据
2026-01-16 12:00:27,210 | INFO | temu_site | 店铺---2105-Temu全托管---没有违规数据，跳过
2026-01-16 12:00:27,212 | INFO | temu_site | 正在爬取店铺---2108-Temu全托管---skc_sku_violate数据
2026-01-16 12:00:28,341 | ERROR | temu_site | [2108-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-16 12:00:49,444 | INFO | temu_site | 店铺---2108-Temu全托管---没有违规数据
