2026-04-27 11:59:33,752 | INFO | temu_sale_main | 程序开始启动
2026-04-27 11:59:33,753 | INFO | temu_sale_main | ---------------------------------开始爬取temu数据-----------------------------------
2026-04-27 11:59:33,755 | INFO | temu_sale_main | 正在爬取第1页的数据
2026-04-27 11:59:35,983 | INFO | temu_sale_main | 📊 第1页获取到500条数据
2026-04-27 11:59:35,989 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 11:59:37,998 | INFO | temu_sale_main | 正在爬取第2页的数据
2026-04-27 11:59:40,037 | INFO | temu_sale_main | 📊 第2页获取到500条数据
2026-04-27 11:59:40,042 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 11:59:42,050 | INFO | temu_sale_main | 正在爬取第3页的数据
2026-04-27 11:59:44,028 | INFO | temu_sale_main | 📊 第3页获取到500条数据
2026-04-27 11:59:44,032 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 11:59:46,043 | INFO | temu_sale_main | 正在爬取第4页的数据
2026-04-27 11:59:48,332 | INFO | temu_sale_main | 📊 第4页获取到500条数据
2026-04-27 11:59:48,336 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 11:59:50,350 | INFO | temu_sale_main | 正在爬取第5页的数据
2026-04-27 11:59:52,125 | INFO | temu_sale_main | 📊 第5页获取到500条数据
2026-04-27 11:59:52,128 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 11:59:54,139 | INFO | temu_sale_main | 正在爬取第6页的数据
2026-04-27 11:59:56,192 | INFO | temu_sale_main | 📊 第6页获取到500条数据
2026-04-27 11:59:56,195 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 11:59:58,209 | INFO | temu_sale_main | 正在爬取第7页的数据
2026-04-27 12:00:00,152 | INFO | temu_sale_main | 📊 第7页获取到500条数据
2026-04-27 12:00:00,155 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:02,166 | INFO | temu_sale_main | 正在爬取第8页的数据
2026-04-27 12:00:04,264 | INFO | temu_sale_main | 📊 第8页获取到500条数据
2026-04-27 12:00:04,270 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:06,275 | INFO | temu_sale_main | 正在爬取第9页的数据
2026-04-27 12:00:08,193 | INFO | temu_sale_main | 📊 第9页获取到500条数据
2026-04-27 12:00:08,199 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:10,208 | INFO | temu_sale_main | 正在爬取第10页的数据
2026-04-27 12:00:12,097 | INFO | temu_sale_main | 📊 第10页获取到500条数据
2026-04-27 12:00:12,101 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:14,115 | INFO | temu_sale_main | 正在爬取第11页的数据
2026-04-27 12:00:15,845 | INFO | temu_sale_main | 📊 第11页获取到500条数据
2026-04-27 12:00:15,849 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:17,853 | INFO | temu_sale_main | 正在爬取第12页的数据
2026-04-27 12:00:19,992 | INFO | temu_sale_main | 📊 第12页获取到500条数据
2026-04-27 12:00:19,996 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:21,998 | INFO | temu_sale_main | 正在爬取第13页的数据
2026-04-27 12:00:23,812 | INFO | temu_sale_main | 📊 第13页获取到500条数据
2026-04-27 12:00:23,816 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:25,829 | INFO | temu_sale_main | 正在爬取第14页的数据
2026-04-27 12:00:28,121 | INFO | temu_sale_main | 📊 第14页获取到500条数据
2026-04-27 12:00:28,124 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:30,134 | INFO | temu_sale_main | 正在爬取第15页的数据
2026-04-27 12:00:32,145 | INFO | temu_sale_main | 📊 第15页获取到500条数据
2026-04-27 12:00:32,149 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:34,157 | INFO | temu_sale_main | 正在爬取第16页的数据
2026-04-27 12:00:36,665 | INFO | temu_sale_main | 📊 第16页获取到371条数据
2026-04-27 12:00:36,667 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260427.csv
2026-04-27 12:00:36,668 | INFO | temu_sale_main | ✅ 第16页为最后一页，共获取7871条
2026-04-27 12:00:36,668 | INFO | temu_sale_main | ---------------------------------开始匹配sku数据-----------------------------------
2026-04-27 12:00:36,943 | INFO | temu_sale_main | ---------------------------------开始上传数据-----------------------------------
2026-04-27 12:00:36,944 | INFO | temu_sale_main | 准备上传 424 条记录...
2026-04-27 12:00:54,322 | INFO | temu_sale_main | 
上传统计:
2026-04-27 12:00:54,322 | INFO | temu_sale_main | 总记录数: 424
2026-04-27 12:00:54,323 | INFO | temu_sale_main | 成功数量: 424
2026-04-27 12:00:54,324 | INFO | temu_sale_main | 失败数量: 0
2026-04-27 12:00:54,324 | INFO | temu_sale_main | 成功批次: 9
2026-04-27 12:00:54,324 | INFO | temu_sale_main | 失败批次: 0
2026-04-27 12:00:54,325 | INFO | temu_sale_main | 数据上传成功
2026-04-27 12:00:57,327 | INFO | temu_sale_main | ⏱️  总耗时: 83.57 秒
