2026-01-16 12:00:55,633 | INFO | login | --------------------2107-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:01:00,366 | INFO | login | 2107-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:01:07,631 | INFO | login | 2107-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2107-Temu全托管_cookies.json
2026-01-16 12:01:07,631 | INFO | login | 2107-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:01:07,632 | INFO | login | 2107-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:01:13,111 | INFO | login | 2102-Temu全托管 - 第 1 次登录尝试
2026-01-16 12:01:15,817 | INFO | login | 2102-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'eeakakjccihhgkahpdohdfhkoheehanb', 'browserID': 102858197, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '65379', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2102店（152店改）', 'duplicate': 2332, 'ip': '49.7.135.46', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 102858197, 'containerCode': '1036581979', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:01:15,818 | INFO | login | 2102-Temu全托管 - 浏览器启动成功, 调试端口: 65379
2026-01-16 12:01:17,383 | INFO | login | 2102-Temu全托管 - 已连接浏览器
2026-01-16 12:01:17,876 | INFO | login | --------------------2102-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:01:23,187 | INFO | login | 2102-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 12:01:28,933 | INFO | login | 2102-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2102-Temu全托管_cookies.json
2026-01-16 12:01:28,933 | INFO | login | 2102-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 12:01:28,933 | INFO | login | 2102-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:01:37,461 | INFO | login | 1108-Temu全托管 - 第 1 次登录尝试
