2026-01-19 11:57:05,473 | INFO | temu_site | 开始清除昨天报表的数据
2026-01-19 11:57:05,945 | INFO | temu_site | 
 删除所有记录
2026-01-19 11:57:19,131 | INFO | temu_site | 删除所有记录结果: None
2026-01-19 11:57:19,132 | INFO | temu_site | 开始清除今天报表的数据
2026-01-19 11:57:19,132 | INFO | temu_site | 
 删除所有记录
2026-01-19 11:57:50,307 | INFO | temu_site | 删除所有记录结果: None
2026-01-19 11:57:50,309 | INFO | temu_site | 正在爬取店铺---2106-Temu全托管---skc_sku_violate数据
2026-01-19 11:57:51,429 | ERROR | temu_site | [2106-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-19 11:58:33,735 | INFO | temu_site | 店铺---2106-Temu全托管---没有违规数据
2026-01-19 11:58:33,740 | INFO | temu_site | 店铺---2106-Temu全托管---没有违规数据，跳过
2026-01-19 11:58:33,741 | INFO | temu_site | 正在爬取店铺---2105-Temu全托管---skc_sku_violate数据
2026-01-19 11:58:40,578 | ERROR | temu_site | [2105-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-19 11:59:01,793 | INFO | temu_site | 店铺---2105-Temu全托管---没有违规数据
2026-01-19 11:59:01,793 | INFO | temu_site | 店铺---2105-Temu全托管---没有违规数据，跳过
2026-01-19 11:59:01,793 | INFO | temu_site | 正在爬取店铺---2108-Temu全托管---skc_sku_violate数据
2026-01-19 11:59:02,930 | ERROR | temu_site | [2108-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-19 11:59:33,056 | INFO | temu_site | 店铺---2108-Temu全托管---没有违规数据
2026-01-19 11:59:33,057 | INFO | temu_site | 店铺---2108-Temu全托管---没有违规数据，跳过
2026-01-19 11:59:33,059 | INFO | temu_site | 正在爬取店铺---2107-Temu全托管---skc_sku_violate数据
2026-01-19 11:59:36,936 | ERROR | temu_site | [2107-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-19 12:00:08,004 | INFO | temu_site | 店铺---2107-Temu全托管---没有违规数据
