2026-01-19 11:41:44,593 | INFO | search_factory | RC:ImgMsg--已发送
2026-01-19 11:41:47,309 | INFO | search_factory | RC:TxtMsg--已发送
2026-01-19 11:41:47,309 | INFO | search_factory | 正在给--item["供应商"]发送信息
2026-01-19 11:41:52,204 | INFO | search_factory | RC:ImgMsg--已发送
2026-01-19 11:41:54,904 | INFO | search_factory | RC:TxtMsg--已发送
2026-01-19 11:41:54,904 | INFO | search_factory | 正在给--item["供应商"]发送信息
2026-01-19 11:41:59,741 | INFO | search_factory | RC:ImgMsg--已发送
2026-01-19 11:42:02,332 | INFO | search_factory | RC:TxtMsg--已发送
2026-01-19 11:42:02,332 | INFO | search_factory | 正在给--item["供应商"]发送信息
2026-01-19 11:42:07,150 | INFO | search_factory | RC:ImgMsg--已发送
2026-01-19 11:42:09,740 | INFO | search_factory | RC:TxtMsg--已发送
2026-01-19 11:42:52,785 | INFO | search_factory | ✅ storage_state 存在
2026-01-19 11:43:05,454 | INFO | search_factory | 正在处理我们要发送的图片
2026-01-19 11:43:19,990 | INFO | search_factory | ✅ 宜采抓取完成：10 条
2026-01-19 11:43:21,666 | INFO | search_factory | ✅ 浏览器初始化成功
2026-01-19 11:43:49,518 | INFO | search_factory | storage_state 已保存到 D:\sd14\Factory_sourcing\data\cookies\xiaoniaoyun_storage.json
2026-01-19 11:43:49,519 | INFO | search_factory | ✅ 登录成功并保存 storage_state
2026-01-19 11:43:50,241 | INFO | search_factory | ✅ 图片 D:\sd14\Factory_sourcing\data\img\gun.jpg 上传完成
2026-01-19 11:43:53,950 | INFO | search_factory | 正在处理我们要发送的图片
2026-01-19 11:43:55,888 | INFO | search_factory | ✅ 搜索接口返回 10 条结果
2026-01-19 11:43:55,889 | INFO | search_factory | ✅ 图片 D:\sd14\Factory_sourcing\data\img\gun.jpg 搜索完成，找到 10 条结果
2026-01-19 11:43:55,889 | INFO | search_factory | 📨 给厂家发送消息：光学宝
2026-01-19 11:44:01,525 | WARNING | search_factory | ⚠️ 商品 6049926 未出现「发起聊天」按钮，跳过发送消息
2026-01-19 11:44:01,596 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:07,234 | WARNING | search_factory | ⚠️ 商品 6049926 未出现「发起聊天」按钮，跳过发送消息
2026-01-19 11:44:07,276 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:07,276 | INFO | search_factory | 📨 给厂家发送消息：烽裕玩具厂
2026-01-19 11:44:12,636 | INFO | search_factory | ✅ 商品 5280822 已成功发送消息
2026-01-19 11:44:12,699 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:44:12,780 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:18,168 | INFO | search_factory | ✅ 商品 5280822 已成功发送消息
2026-01-19 11:44:18,216 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:44:18,280 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:18,280 | INFO | search_factory | ⏭ 已发送过，跳过厂家：烽裕玩具厂
2026-01-19 11:44:18,280 | INFO | search_factory | 📨 给厂家发送消息：灿城玩具
2026-01-19 11:44:23,570 | INFO | search_factory | ✅ 商品 4654649 已成功发送消息
2026-01-19 11:44:23,614 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:44:23,678 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:28,486 | INFO | search_factory | ✅ 商品 4654649 已成功发送消息
2026-01-19 11:44:28,513 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:44:28,592 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:28,592 | INFO | search_factory | 📨 给厂家发送消息：创琪
2026-01-19 11:44:33,918 | INFO | search_factory | ✅ 商品 3955511 已成功发送消息
2026-01-19 11:44:33,976 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:44:34,053 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:38,796 | INFO | search_factory | ✅ 商品 3955511 已成功发送消息
2026-01-19 11:44:38,834 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:44:38,916 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:38,917 | INFO | search_factory | ⏭ 已发送过，跳过厂家：创琪
2026-01-19 11:44:38,917 | INFO | search_factory | 📨 给厂家发送消息：佳成玩具
2026-01-19 11:44:44,253 | INFO | search_factory | ✅ 商品 5260098 已成功发送消息
2026-01-19 11:44:44,297 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:44:44,362 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:49,676 | INFO | search_factory | ✅ 商品 5260098 已成功发送消息
2026-01-19 11:44:49,731 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:44:49,812 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:44:49,812 | INFO | search_factory | 📨 给厂家发送消息：嘉迪泓
2026-01-19 11:44:55,152 | INFO | search_factory | ✅ 商品 2936458 已成功发送消息
2026-01-19 11:44:55,200 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:44:55,264 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:45:00,628 | INFO | search_factory | ✅ 商品 2936458 已成功发送消息
2026-01-19 11:45:00,683 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:45:00,745 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:45:00,745 | INFO | search_factory | 📨 给厂家发送消息：佳利发
2026-01-19 11:45:06,062 | INFO | search_factory | ✅ 商品 5214740 已成功发送消息
2026-01-19 11:45:06,115 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:45:06,180 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:45:10,960 | INFO | search_factory | ✅ 商品 5214740 已成功发送消息
2026-01-19 11:45:11,040 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:45:11,119 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:45:11,119 | INFO | search_factory | 📨 给厂家发送消息：卡乐八八玩具厂
2026-01-19 11:45:16,496 | INFO | search_factory | ✅ 商品 2914708 已成功发送消息
2026-01-19 11:45:16,550 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:45:16,617 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:45:21,950 | INFO | search_factory | ✅ 商品 2914708 已成功发送消息
2026-01-19 11:45:22,020 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-19 11:45:22,098 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-19 11:45:22,792 | INFO | search_factory | 浏览器已关闭
