2026-01-21 11:59:50,809 | INFO | login | 2106-Temu全托管 - 第 1 次登录尝试
2026-01-21 11:59:54,890 | INFO | login | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '52941', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 3536, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-21 11:59:54,891 | INFO | login | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 52941
2026-01-21 11:59:56,278 | INFO | login | 2106-Temu全托管 - 已连接浏览器
2026-01-21 11:59:57,408 | INFO | login | --------------------2106-Temu全托管 ------------------------ 开始登录...
2026-01-21 12:00:02,244 | INFO | login | 2106-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-21 12:00:11,864 | INFO | login | 命中授权方式一：确认授权并前往
2026-01-21 12:00:11,913 | INFO | login | 授权流程完成
2026-01-21 12:00:17,961 | INFO | login | 2106-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2106-Temu全托管_cookies.json
2026-01-21 12:00:17,961 | INFO | login | 2106-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-21 12:00:17,961 | INFO | login | 2106-Temu全托管 - 登录成功（第 1 次）
2026-01-21 12:00:23,807 | INFO | login | 2105-Temu全托管 - 第 1 次登录尝试
2026-01-21 12:00:27,322 | INFO | login | 2105-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'hedbcddcbnkifhfapobljhpmnkknmeci', 'browserID': 109977447, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '53336', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1105店', 'duplicate': 3222, 'ip': '218.78.129.86', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 109977447, 'containerCode': '1107774478', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-21 12:00:27,322 | INFO | login | 2105-Temu全托管 - 浏览器启动成功, 调试端口: 53336
2026-01-21 12:00:28,723 | INFO | login | 2105-Temu全托管 - 已连接浏览器
2026-01-21 12:00:29,782 | INFO | login | --------------------2105-Temu全托管 ------------------------ 开始登录...
2026-01-21 12:00:34,402 | INFO | login | 2105-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-21 12:00:42,567 | INFO | login | 2105-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2105-Temu全托管_cookies.json
