2026-04-03 10:43:31,615 | INFO | Temu_New | 筛选区类目数量: 0
2026-04-03 10:43:31,615 | WARNING | Temu_New | ❌ 未找到精确类目: 卡牌游戏
2026-04-03 10:43:31,837 | INFO | Temu_New | 筛选区类目数量: 0
2026-04-03 10:43:31,837 | WARNING | Temu_New | ❌ 未找到精确类目: 益智、科教玩具
2026-04-03 10:43:32,059 | INFO | Temu_New | 筛选区类目数量: 0
2026-04-03 10:43:32,059 | WARNING | Temu_New | ❌ 未找到精确类目: 过家家
2026-04-03 10:43:32,274 | INFO | Temu_New | 筛选区类目数量: 0
2026-04-03 10:43:32,274 | WARNING | Temu_New | ❌ 未找到精确类目: 拼图
2026-04-03 10:43:32,490 | INFO | Temu_New | 筛选区类目数量: 0
2026-04-03 10:43:32,490 | WARNING | Temu_New | ❌ 未找到精确类目: 婴幼玩具
2026-04-03 10:43:32,711 | INFO | Temu_New | 筛选区类目数量: 0
2026-04-03 10:43:32,711 | WARNING | Temu_New | ❌ 未找到精确类目: 运动户外用品
2026-04-03 10:56:57,975 | INFO | Temu_New | 类目 1464 从第 1 页开始
2026-04-03 10:56:58,131 | INFO | Temu_New | 类目 1464 第 1 页为空，停止
2026-04-03 10:57:01,129 | INFO | Temu_New | 类目 1465 从第 1 页开始
2026-04-03 10:57:01,196 | INFO | Temu_New | 类目 1465 第 1 页为空，停止
2026-04-03 10:57:48,259 | INFO | Temu_New | 类目 1464 从第 1 页开始
2026-04-03 10:57:48,403 | INFO | Temu_New | 类目 1464 第 1 页为空，停止
2026-04-03 10:57:51,414 | INFO | Temu_New | 类目 1465 从第 1 页开始
2026-04-03 10:57:51,590 | INFO | Temu_New | 类目 1465 第 1 页为空，停止
2026-04-03 11:01:37,314 | INFO | Temu_New | 类目 25440 从第 1 页开始
2026-04-03 11:01:37,468 | INFO | Temu_New | 类目 25440 第 1 页为空，停止
2026-04-03 11:19:21,912 | INFO | Temu_New | 开始筛选页面: https://www.geekbi.com/data/goods/hot-sale
2026-04-03 11:19:58,373 | INFO | Temu_New | 🔍 搜索第一页
2026-04-03 13:43:27,342 | INFO | Temu_New | 开始筛选页面: https://www.geekbi.com/data/goods/hot-sale
2026-04-03 13:44:03,382 | INFO | Temu_New | 🔍 搜索第一页
2026-04-03 14:20:32,366 | INFO | Temu_New | 开始筛选页面: https://www.geekbi.com/data/goods/hot-sale
2026-04-03 14:21:07,385 | INFO | Temu_New | 🔍 搜索第一页
2026-04-03 14:21:09,269 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:09,296 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:12,120 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:12,130 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:15,234 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:15,250 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:17,925 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:17,935 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:20,582 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:20,592 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:23,475 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:23,485 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:26,139 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:26,159 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:28,708 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:28,718 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:32,940 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:32,951 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:35,840 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:35,860 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:38,464 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:38,480 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:41,091 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:41,101 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:43,722 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:43,737 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:46,321 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:46,330 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:48,943 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:48,953 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:51,568 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:51,579 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:54,528 | INFO | Temu_New | 入库 100 条
2026-04-03 14:21:54,543 | INFO | Temu_New | ➡️ 下一页
2026-04-03 14:21:57,114 | INFO | Temu_New | 入库 100 条
