2026-04-29 10:36:10,233 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601101450753655
2026-04-29 10:36:10,233 | INFO | auto_listing | 新页面（采集箱）已打开 - 601101450753655
2026-04-29 10:36:13,240 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601101449605828
2026-04-29 10:36:13,241 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601101450753655
2026-04-29 10:36:14,840 | INFO | auto_listing | ✅ 上架成功: 601101449605828
2026-04-29 10:36:14,945 | INFO | auto_listing | ✅ 上架成功: 601101450753655
2026-04-29 10:36:14,947 | INFO | auto_listing | 采集箱新页面已关闭 - 601101449605828
2026-04-29 10:36:14,950 | INFO | auto_listing | 采集箱新页面已关闭 - 601101450753655
2026-04-29 10:36:14,961 | INFO | auto_listing | 外层采集页面已关闭 - 601101449605828
2026-04-29 10:36:14,966 | INFO | auto_listing | 外层采集页面已关闭 - 601101450753655
2026-04-29 10:36:14,994 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:36:14,996 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:36:15,077 | INFO | auto_listing | 进度: 7/50 - 正在处理商品: 601101444294662
2026-04-29 10:36:15,077 | INFO | auto_listing | 商品 601101444294662 第 1/2 次采集尝试
2026-04-29 10:36:15,080 | INFO | auto_listing | 进度: 8/50 - 正在处理商品: 601101186730909
2026-04-29 10:36:15,081 | INFO | auto_listing | 商品 601101186730909 第 1/2 次采集尝试
2026-04-29 10:36:17,828 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601101186730909
2026-04-29 10:36:17,861 | INFO | auto_listing | 新页面（采集箱）已打开 - 601101186730909
2026-04-29 10:36:17,980 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601101444294662
2026-04-29 10:36:17,980 | INFO | auto_listing | 新页面（采集箱）已打开 - 601101444294662
2026-04-29 10:36:20,604 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601101186730909
2026-04-29 10:36:20,609 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601101444294662
2026-04-29 10:36:22,232 | INFO | auto_listing | ✅ 上架成功: 601101186730909
2026-04-29 10:36:22,329 | INFO | auto_listing | ✅ 上架成功: 601101444294662
2026-04-29 10:36:22,330 | INFO | auto_listing | 采集箱新页面已关闭 - 601101186730909
2026-04-29 10:36:22,331 | INFO | auto_listing | 采集箱新页面已关闭 - 601101444294662
2026-04-29 10:36:22,343 | INFO | auto_listing | 外层采集页面已关闭 - 601101444294662
2026-04-29 10:36:22,347 | INFO | auto_listing | 外层采集页面已关闭 - 601101186730909
2026-04-29 10:36:22,381 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:36:22,383 | INFO | auto_listing | 关闭采集后残留页面
2026-04-29 10:36:22,447 | INFO | auto_listing | 进度: 9/50 - 正在处理商品: 601100185372109
2026-04-29 10:36:22,447 | INFO | auto_listing | 商品 601100185372109 第 1/2 次采集尝试
2026-04-29 10:36:22,483 | INFO | auto_listing | 进度: 10/50 - 正在处理商品: 601100118149251
2026-04-29 10:36:22,483 | INFO | auto_listing | 商品 601100118149251 第 1/2 次采集尝试
2026-04-29 10:36:25,329 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100118149251
2026-04-29 10:36:25,356 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100118149251
2026-04-29 10:36:25,463 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开 - 601100185372109
2026-04-29 10:36:25,463 | INFO | auto_listing | 新页面（采集箱）已打开 - 601100185372109
2026-04-29 10:36:28,086 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100118149251
2026-04-29 10:36:28,086 | INFO | auto_listing | 检测到成功状态（已提交/公共采集箱） - 601100185372109
2026-04-29 10:36:29,681 | INFO | auto_listing | ✅ 上架成功: 601100118149251
2026-04-29 10:36:29,777 | INFO | auto_listing | ✅ 上架成功: 601100185372109
2026-04-29 10:36:29,779 | INFO | auto_listing | 采集箱新页面已关闭 - 601100118149251
2026-04-29 10:36:29,780 | INFO | auto_listing | 采集箱新页面已关闭 - 601100185372109
2026-04-29 10:36:29,791 | INFO | auto_listing | 外层采集页面已关闭 - 601100118149251
2026-04-29 10:36:29,794 | INFO | auto_listing | 外层采集页面已关闭 - 601100185372109
