2026-01-15 11:57:48,287 | INFO | temu_site | 开始清除昨天报表的数据
2026-01-15 11:57:48,781 | INFO | temu_site | 
 删除所有记录
2026-01-15 11:58:40,157 | INFO | temu_site | 删除所有记录结果: None
2026-01-15 11:58:40,157 | INFO | temu_site | 开始清除今天报表的数据
2026-01-15 11:58:40,158 | INFO | temu_site | 
 删除所有记录
2026-01-15 11:59:47,569 | INFO | temu_site | 删除所有记录结果: None
2026-01-15 11:59:47,570 | INFO | temu_site | 正在爬取店铺---2106-Temu全托管---skc_sku_violate数据
2026-01-15 11:59:48,693 | ERROR | temu_site | [2106-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:00:21,718 | INFO | temu_site | 店铺---2106-Temu全托管---没有违规数据
2026-01-15 12:00:21,726 | INFO | temu_site | 店铺---2106-Temu全托管---没有违规数据，跳过
2026-01-15 12:00:21,728 | INFO | temu_site | 正在爬取店铺---2105-Temu全托管---skc_sku_violate数据
2026-01-15 12:00:22,825 | ERROR | temu_site | [2105-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:00:44,008 | INFO | temu_site | 店铺---2105-Temu全托管---没有违规数据
2026-01-15 12:00:44,009 | INFO | temu_site | 店铺---2105-Temu全托管---没有违规数据，跳过
2026-01-15 12:00:44,010 | INFO | temu_site | 正在爬取店铺---2108-Temu全托管---skc_sku_violate数据
2026-01-15 12:00:45,136 | ERROR | temu_site | [2108-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:01:14,919 | INFO | temu_site | 店铺---2108-Temu全托管---没有违规数据
2026-01-15 12:01:14,919 | INFO | temu_site | 店铺---2108-Temu全托管---没有违规数据，跳过
2026-01-15 12:01:14,921 | INFO | temu_site | 正在爬取店铺---2107-Temu全托管---skc_sku_violate数据
2026-01-15 12:01:16,322 | INFO | temu_site | 店铺---2107-Temu全托管---没有违规数据
2026-01-15 12:01:16,324 | INFO | temu_site | 店铺---2107-Temu全托管---没有违规数据，跳过
2026-01-15 12:01:16,325 | INFO | temu_site | 正在爬取店铺---2102-Temu全托管---skc_sku_violate数据
2026-01-15 12:01:20,729 | INFO | temu_site | 店铺---2102-Temu全托管---没有违规数据
2026-01-15 12:01:20,730 | INFO | temu_site | 店铺---2102-Temu全托管---没有违规数据，跳过
2026-01-15 12:01:20,731 | INFO | temu_site | 正在爬取店铺---1108-Temu全托管---skc_sku_violate数据
2026-01-15 12:01:21,855 | ERROR | temu_site | [1108-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:01:42,908 | INFO | temu_site | 店铺---1108-Temu全托管---没有违规数据
2026-01-15 12:01:42,908 | INFO | temu_site | 店铺---1108-Temu全托管---没有违规数据，跳过
2026-01-15 12:01:42,909 | INFO | temu_site | 正在爬取店铺---1107-Temu全托管---skc_sku_violate数据
2026-01-15 12:01:44,031 | ERROR | temu_site | [1107-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:02:10,320 | INFO | temu_site | 店铺---1107-Temu全托管---没有违规数据
2026-01-15 12:02:10,322 | INFO | temu_site | 店铺---1107-Temu全托管---没有违规数据，跳过
2026-01-15 12:02:10,322 | INFO | temu_site | 正在爬取店铺---1106-Temu全托管---skc_sku_violate数据
2026-01-15 12:02:11,431 | ERROR | temu_site | [1106-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:02:40,904 | INFO | temu_site | 正在爬取店铺---1106-Temu全托管---sku_site_status数据
2026-01-15 12:02:45,404 | INFO | temu_site | 正在爬取店铺---1106-Temu全托管---sku_site_exception数据
2026-01-15 12:02:47,004 | ERROR | temu_site | 处理店铺 1106-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-15 12:02:47,005 | INFO | temu_site | 正在爬取店铺---1105-Temu全托管---skc_sku_violate数据
2026-01-15 12:02:48,132 | ERROR | temu_site | [1105-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:03:06,734 | INFO | temu_site | 店铺---1105-Temu全托管---没有违规数据
2026-01-15 12:03:06,737 | INFO | temu_site | 店铺---1105-Temu全托管---没有违规数据，跳过
2026-01-15 12:03:06,739 | INFO | temu_site | 正在爬取店铺---2103-Temu全托管---skc_sku_violate数据
2026-01-15 12:03:07,837 | ERROR | temu_site | [2103-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:03:29,837 | INFO | temu_site | 店铺---2103-Temu全托管---没有违规数据
2026-01-15 12:03:29,837 | INFO | temu_site | 店铺---2103-Temu全托管---没有违规数据，跳过
2026-01-15 12:03:29,838 | INFO | temu_site | 正在爬取店铺---112-Temu全托管---skc_sku_violate数据
2026-01-15 12:03:30,925 | ERROR | temu_site | [112-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:03:51,589 | INFO | temu_site | 正在爬取店铺---112-Temu全托管---sku_site_status数据
2026-01-15 12:03:53,923 | INFO | temu_site | 正在爬取店铺---112-Temu全托管---sku_site_exception数据
2026-01-15 12:03:58,359 | ERROR | temu_site | 处理店铺 112-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-15 12:03:58,360 | INFO | temu_site | 正在爬取店铺---151-Temu全托管家居---skc_sku_violate数据
2026-01-15 12:03:59,483 | ERROR | temu_site | [151-Temu全托管家居] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:04:30,996 | INFO | temu_site | 店铺---151-Temu全托管家居---没有违规数据
2026-01-15 12:04:30,997 | INFO | temu_site | 店铺---151-Temu全托管家居---没有违规数据，跳过
2026-01-15 12:04:30,998 | INFO | temu_site | 正在爬取店铺---1104-Temu全托管---skc_sku_violate数据
2026-01-15 12:04:32,114 | ERROR | temu_site | [1104-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:04:57,369 | INFO | temu_site | 店铺---1104-Temu全托管---没有违规数据
2026-01-15 12:04:57,371 | INFO | temu_site | 店铺---1104-Temu全托管---没有违规数据，跳过
2026-01-15 12:04:57,373 | INFO | temu_site | 正在爬取店铺---1102-Temu全托管---skc_sku_violate数据
2026-01-15 12:04:58,467 | ERROR | temu_site | [1102-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:05:18,338 | INFO | temu_site | 店铺---1102-Temu全托管---没有违规数据
2026-01-15 12:05:18,339 | INFO | temu_site | 店铺---1102-Temu全托管---没有违规数据，跳过
2026-01-15 12:05:18,341 | INFO | temu_site | 正在爬取店铺---1103-Temu全托管---skc_sku_violate数据
2026-01-15 12:05:19,422 | ERROR | temu_site | [1103-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:05:40,109 | INFO | temu_site | 正在爬取店铺---1103-Temu全托管---sku_site_status数据
2026-01-15 12:05:41,248 | INFO | temu_site | 正在爬取店铺---1103-Temu全托管---sku_site_exception数据
2026-01-15 12:05:42,521 | ERROR | temu_site | 处理店铺 1103-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-15 12:05:42,522 | INFO | temu_site | 正在爬取店铺---1101-Temu全托管---skc_sku_violate数据
2026-01-15 12:05:46,719 | ERROR | temu_site | [1101-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:06:06,514 | INFO | temu_site | 店铺---1101-Temu全托管---没有违规数据
2026-01-15 12:06:06,514 | INFO | temu_site | 店铺---1101-Temu全托管---没有违规数据，跳过
2026-01-15 12:06:06,516 | INFO | temu_site | 正在爬取店铺---2101-Temu全托管KA---skc_sku_violate数据
2026-01-15 12:06:07,616 | ERROR | temu_site | [2101-Temu全托管KA] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:06:28,635 | INFO | temu_site | 店铺---2101-Temu全托管KA---没有违规数据
2026-01-15 12:06:28,635 | INFO | temu_site | 店铺---2101-Temu全托管KA---没有违规数据，跳过
2026-01-15 12:06:28,636 | INFO | temu_site | 正在爬取店铺---110-Temu全托管KA---skc_sku_violate数据
2026-01-15 12:06:29,805 | INFO | temu_site | 店铺---110-Temu全托管KA---没有违规数据
2026-01-15 12:06:29,806 | INFO | temu_site | 店铺---110-Temu全托管KA---没有违规数据，跳过
2026-01-15 12:06:29,806 | INFO | temu_site | 正在爬取店铺---109-Temu全托管KA---skc_sku_violate数据
2026-01-15 12:06:30,915 | ERROR | temu_site | [109-Temu全托管KA] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:06:53,533 | INFO | temu_site | 店铺---109-Temu全托管KA---没有违规数据
2026-01-15 12:06:53,533 | INFO | temu_site | 店铺---109-Temu全托管KA---没有违规数据，跳过
2026-01-15 12:06:53,534 | INFO | temu_site | 正在爬取店铺---108-Temu全托管---skc_sku_violate数据
2026-01-15 12:06:54,659 | ERROR | temu_site | [108-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:07:16,664 | INFO | temu_site | 店铺---108-Temu全托管---没有违规数据
2026-01-15 12:07:16,668 | INFO | temu_site | 店铺---108-Temu全托管---没有违规数据，跳过
2026-01-15 12:07:16,671 | INFO | temu_site | 正在爬取店铺---107-Temu全托管---skc_sku_violate数据
2026-01-15 12:07:17,752 | ERROR | temu_site | [107-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:07:39,036 | INFO | temu_site | 店铺---107-Temu全托管---没有违规数据
2026-01-15 12:07:39,037 | INFO | temu_site | 店铺---107-Temu全托管---没有违规数据，跳过
2026-01-15 12:07:39,038 | INFO | temu_site | 正在爬取店铺---106-Temu全托管---skc_sku_violate数据
2026-01-15 12:07:40,119 | ERROR | temu_site | [106-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:08:09,452 | INFO | temu_site | 正在爬取店铺---106-Temu全托管---sku_site_status数据
2026-01-15 12:08:10,624 | INFO | temu_site | 正在爬取店铺---106-Temu全托管---sku_site_exception数据
2026-01-15 12:08:14,031 | ERROR | temu_site | 处理店铺 106-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-15 12:08:14,032 | INFO | temu_site | 正在爬取店铺---105-Temu全托管---skc_sku_violate数据
2026-01-15 12:08:15,157 | ERROR | temu_site | [105-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:08:44,686 | INFO | temu_site | 店铺---105-Temu全托管---没有违规数据
2026-01-15 12:08:44,688 | INFO | temu_site | 店铺---105-Temu全托管---没有违规数据，跳过
2026-01-15 12:08:44,690 | INFO | temu_site | 正在爬取店铺---104-Temu全托管---skc_sku_violate数据
2026-01-15 12:08:45,814 | ERROR | temu_site | [104-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:09:08,655 | INFO | temu_site | 正在爬取店铺---104-Temu全托管---sku_site_status数据
2026-01-15 12:09:09,807 | INFO | temu_site | 正在爬取店铺---104-Temu全托管---sku_site_exception数据
2026-01-15 12:09:11,058 | ERROR | temu_site | 处理店铺 104-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-15 12:09:11,059 | INFO | temu_site | 正在爬取店铺---103-Temu全托管---skc_sku_violate数据
2026-01-15 12:09:15,837 | INFO | temu_site | 正在爬取店铺---103-Temu全托管---sku_site_status数据
2026-01-15 12:09:16,965 | INFO | temu_site | 正在爬取店铺---103-Temu全托管---sku_site_exception数据
2026-01-15 12:09:18,181 | ERROR | temu_site | 处理店铺 103-Temu全托管 时出错: 'NoneType' object has no attribute 'empty'
2026-01-15 12:09:18,182 | INFO | temu_site | 正在爬取店铺---102-Temu全托管---skc_sku_violate数据
2026-01-15 12:09:19,275 | ERROR | temu_site | [102-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/api/kiana/mms/robin/searchForChainSupplier
2026-01-15 12:09:51,615 | INFO | temu_site | 店铺---102-Temu全托管---没有违规数据
2026-01-15 12:09:51,616 | INFO | temu_site | 店铺---102-Temu全托管---没有违规数据，跳过
2026-01-15 12:09:51,617 | INFO | temu_site | 正在爬取店铺---101-Temu全托管---skc_sku_violate数据
2026-01-15 12:09:52,786 | INFO | temu_site | 店铺---101-Temu全托管---没有违规数据
2026-01-15 12:09:52,787 | INFO | temu_site | 店铺---101-Temu全托管---没有违规数据，跳过
2026-01-15 12:09:53,041 | INFO | temu_site | 准备上传 1110 条记录...
2026-01-15 12:10:32,584 | INFO | temu_site | 
上传统计:
2026-01-15 12:10:32,585 | INFO | temu_site | 总批次: 23
2026-01-15 12:10:32,585 | INFO | temu_site | 成功批次: 23
2026-01-15 12:10:32,585 | INFO | temu_site | 失败批次: 0
2026-01-15 12:10:32,651 | INFO | temu_site | 准备上传 207 条记录...
2026-01-15 12:10:40,870 | INFO | temu_site | 
上传统计:
2026-01-15 12:10:40,870 | INFO | temu_site | 总批次: 5
2026-01-15 12:10:40,871 | INFO | temu_site | 成功批次: 5
2026-01-15 12:10:40,871 | INFO | temu_site | 失败批次: 0
