2025-12-28 00:26:07,109 | INFO | shopee_sale_data | [虾皮全托507-lxz] 第 1 页无数据，结束爬取
2025-12-28 00:26:07,109 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托506-kedi------------------
2025-12-28 00:26:07,674 | INFO | shopee_sale_data | 解析完成，共找到 16 条有效数据
2025-12-28 00:26:07,675 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:26:08,985 | INFO | shopee_sale_data | [虾皮全托506-kedi] 第 2 页无数据，结束爬取
2025-12-28 00:26:08,986 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托505-qipei------------------
2025-12-28 00:26:09,552 | INFO | shopee_sale_data | 解析完成，共找到 23 条有效数据
2025-12-28 00:26:09,553 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:26:10,936 | INFO | shopee_sale_data | [虾皮全托505-qipei] 第 2 页无数据，结束爬取
2025-12-28 00:26:10,938 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托504-huanchuang------------------
2025-12-28 00:26:11,293 | INFO | shopee_sale_data | [虾皮全托504-huanchuang] 第 1 页无数据，结束爬取
2025-12-28 00:26:11,293 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托503-juyule------------------
2025-12-28 00:26:38,248 | INFO | shopee_sale_data | 程序开始启动
2025-12-28 00:26:38,249 | INFO | shopee_sale_data | --------------------------------开始爬取数据------------------------------------
2025-12-28 00:26:38,249 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托1501店------------------
2025-12-28 00:26:38,812 | INFO | shopee_sale_data | 解析完成，共找到 14 条有效数据
2025-12-28 00:26:38,816 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:26:40,143 | INFO | shopee_sale_data | [虾皮全托1501店] 第 2 页无数据，结束爬取
2025-12-28 00:26:40,144 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托507-lxz------------------
2025-12-28 00:26:40,412 | INFO | shopee_sale_data | [虾皮全托507-lxz] 第 1 页无数据，结束爬取
2025-12-28 00:26:40,413 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托506-kedi------------------
2025-12-28 00:26:41,002 | INFO | shopee_sale_data | 解析完成，共找到 16 条有效数据
2025-12-28 00:26:41,004 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:26:42,332 | INFO | shopee_sale_data | [虾皮全托506-kedi] 第 2 页无数据，结束爬取
2025-12-28 00:26:42,333 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托505-qipei------------------
2025-12-28 00:26:42,951 | INFO | shopee_sale_data | 解析完成，共找到 23 条有效数据
2025-12-28 00:26:42,953 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:26:44,275 | INFO | shopee_sale_data | [虾皮全托505-qipei] 第 2 页无数据，结束爬取
2025-12-28 00:26:44,277 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托504-huanchuang------------------
2025-12-28 00:26:44,606 | INFO | shopee_sale_data | [虾皮全托504-huanchuang] 第 1 页无数据，结束爬取
2025-12-28 00:26:44,607 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托503-juyule------------------
2025-12-28 00:26:55,254 | ERROR | shopee_sale_data | [虾皮全托503-juyule] 第 1 页请求异常（1/3）：[虾皮全托503-juyule] 登录失败
2025-12-28 00:46:09,334 | INFO | shopee_sale_data | 程序开始启动
2025-12-28 00:46:09,335 | INFO | shopee_sale_data | --------------------------------开始爬取数据------------------------------------
2025-12-28 00:46:09,335 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托1501店------------------
2025-12-28 00:46:09,816 | INFO | shopee_sale_data | 解析完成，共找到 14 条有效数据
2025-12-28 00:46:09,819 | INFO | shopee_sale_data | 已保存到文件: E:\Company_Project\Shopee\data\sale\shopee_sale_20251228.csv
2025-12-28 00:46:24,619 | INFO | shopee_sale_data | 程序开始启动
2025-12-28 00:46:24,620 | INFO | shopee_sale_data | --------------------------------开始爬取数据------------------------------------
2025-12-28 00:46:24,621 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托1501店------------------
2025-12-28 00:47:03,830 | INFO | shopee_sale_data | 程序开始启动
2025-12-28 00:47:03,830 | INFO | shopee_sale_data | --------------------------------开始爬取数据------------------------------------
2025-12-28 00:47:03,831 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托1501店------------------
