2026-01-24 10:44:12,305 | INFO | login | 103-Temu全托管 - 第 1 次登录尝试
2026-01-24 10:44:35,637 | INFO | login | 103-Temu全托管 - 第 1 次登录尝试
2026-01-24 10:44:38,606 | INFO | login | 103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'cjlkadfgnhnogfgajjoffajniklimcmh', 'browserID': 104523239, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '57317', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托103店-PBee', 'duplicate': 2602, 'ip': '125.75.68.73', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 104523239, 'containerCode': '1053232390', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-24 10:44:38,607 | INFO | login | 103-Temu全托管 - 浏览器启动成功, 调试端口: 57317
2026-01-24 10:44:40,168 | INFO | login | 103-Temu全托管 - 已连接浏览器
2026-01-24 10:44:40,695 | INFO | login | --------------------103-Temu全托管 ------------------------ 开始登录...
2026-01-24 10:44:45,497 | INFO | login | 103-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-24 10:44:54,747 | INFO | login | 命中授权方式一：确认授权并前往
2026-01-24 10:44:54,790 | INFO | login | 授权流程完成
2026-01-24 10:45:00,833 | INFO | login | 103-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\103-Temu全托管_cookies.json
2026-01-24 10:45:00,833 | INFO | login | 103-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-24 10:45:00,833 | INFO | login | 103-Temu全托管 - 登录成功（第 1 次）
2026-01-24 10:55:29,423 | INFO | login | 103-Temu全托管 - 第 1 次登录尝试
2026-01-24 10:55:33,042 | INFO | login | 103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'cjlkadfgnhnogfgajjoffajniklimcmh', 'browserID': 104523239, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '58451', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托103店-PBee', 'duplicate': 3115, 'ip': '125.75.68.73', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 104523239, 'containerCode': '1053232390', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-24 10:55:33,042 | INFO | login | 103-Temu全托管 - 浏览器启动成功, 调试端口: 58451
2026-01-24 10:55:34,445 | INFO | login | 103-Temu全托管 - 已连接浏览器
2026-01-24 10:55:34,982 | INFO | login | --------------------103-Temu全托管 ------------------------ 开始登录...
2026-01-24 10:55:37,740 | INFO | login | 103-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-24 10:55:45,275 | INFO | login | 命中授权方式二：勾选复选框 + 授权登录
2026-01-24 10:55:45,388 | INFO | login | 已点击授权复选框（UI 容器）
2026-01-24 10:55:45,439 | INFO | login | 已点击授权登录
2026-01-24 10:55:55,439 | INFO | login | 授权流程完成
2026-01-24 10:56:01,452 | INFO | login | 103-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\103-Temu全托管_cookies.json
2026-01-24 10:56:01,452 | INFO | login | 103-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-24 10:56:01,452 | INFO | login | 103-Temu全托管 - 登录成功（第 1 次）
2026-01-24 11:14:05,664 | INFO | login | 103-Temu全托管 - 第 1 次登录尝试
2026-01-24 11:14:09,649 | INFO | login | 103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'cjlkadfgnhnogfgajjoffajniklimcmh', 'browserID': 104523239, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '61289', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托103店-PBee', 'duplicate': 3481, 'ip': '125.75.68.73', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 104523239, 'containerCode': '1053232390', 'statusCode': '0', 'err': '成功(Success)'}}
