2026-04-16 11:59:45,804 | INFO | temu_sale_main | 程序开始启动
2026-04-16 11:59:45,805 | INFO | temu_sale_main | ---------------------------------开始爬取temu数据-----------------------------------
2026-04-16 11:59:45,807 | INFO | temu_sale_main | 正在爬取第1页的数据
2026-04-16 11:59:48,403 | INFO | temu_sale_main | 📊 第1页获取到500条数据
2026-04-16 11:59:48,408 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 11:59:50,410 | INFO | temu_sale_main | 正在爬取第2页的数据
2026-04-16 11:59:52,634 | INFO | temu_sale_main | 📊 第2页获取到500条数据
2026-04-16 11:59:52,639 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 11:59:54,650 | INFO | temu_sale_main | 正在爬取第3页的数据
2026-04-16 11:59:56,999 | INFO | temu_sale_main | 📊 第3页获取到500条数据
2026-04-16 11:59:57,004 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 11:59:59,006 | INFO | temu_sale_main | 正在爬取第4页的数据
2026-04-16 12:00:01,039 | INFO | temu_sale_main | 📊 第4页获取到500条数据
2026-04-16 12:00:01,042 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:03,045 | INFO | temu_sale_main | 正在爬取第5页的数据
2026-04-16 12:00:04,955 | INFO | temu_sale_main | 📊 第5页获取到500条数据
2026-04-16 12:00:04,960 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:06,965 | INFO | temu_sale_main | 正在爬取第6页的数据
2026-04-16 12:00:09,046 | INFO | temu_sale_main | 📊 第6页获取到500条数据
2026-04-16 12:00:09,051 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:11,061 | INFO | temu_sale_main | 正在爬取第7页的数据
2026-04-16 12:00:13,073 | INFO | temu_sale_main | 📊 第7页获取到500条数据
2026-04-16 12:00:13,077 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:15,080 | INFO | temu_sale_main | 正在爬取第8页的数据
2026-04-16 12:00:17,148 | INFO | temu_sale_main | 📊 第8页获取到500条数据
2026-04-16 12:00:17,151 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:19,165 | INFO | temu_sale_main | 正在爬取第9页的数据
2026-04-16 12:00:21,299 | INFO | temu_sale_main | 📊 第9页获取到500条数据
2026-04-16 12:00:21,303 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:23,317 | INFO | temu_sale_main | 正在爬取第10页的数据
2026-04-16 12:00:25,551 | INFO | temu_sale_main | 📊 第10页获取到500条数据
2026-04-16 12:00:25,554 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:27,560 | INFO | temu_sale_main | 正在爬取第11页的数据
2026-04-16 12:00:29,705 | INFO | temu_sale_main | 📊 第11页获取到500条数据
2026-04-16 12:00:29,711 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:31,717 | INFO | temu_sale_main | 正在爬取第12页的数据
2026-04-16 12:00:33,757 | INFO | temu_sale_main | 📊 第12页获取到500条数据
2026-04-16 12:00:33,762 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:35,764 | INFO | temu_sale_main | 正在爬取第13页的数据
2026-04-16 12:00:37,871 | INFO | temu_sale_main | 📊 第13页获取到500条数据
2026-04-16 12:00:37,877 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:39,881 | INFO | temu_sale_main | 正在爬取第14页的数据
2026-04-16 12:00:41,927 | INFO | temu_sale_main | 📊 第14页获取到500条数据
2026-04-16 12:00:41,931 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:43,942 | INFO | temu_sale_main | 正在爬取第15页的数据
2026-04-16 12:00:45,955 | INFO | temu_sale_main | 📊 第15页获取到500条数据
2026-04-16 12:00:45,959 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:47,962 | INFO | temu_sale_main | 正在爬取第16页的数据
2026-04-16 12:00:50,799 | INFO | temu_sale_main | 📊 第16页获取到371条数据
2026-04-16 12:00:50,802 | INFO | temu_sale_main | 已保存到文件: D:\sd14\JST_horizon\data/sale/temu_sale_20260416.csv
2026-04-16 12:00:50,802 | INFO | temu_sale_main | ✅ 第16页为最后一页，共获取7871条
2026-04-16 12:00:50,803 | INFO | temu_sale_main | ---------------------------------开始匹配sku数据-----------------------------------
2026-04-16 12:00:51,505 | INFO | temu_sale_main | ---------------------------------开始上传数据-----------------------------------
2026-04-16 12:00:51,507 | INFO | temu_sale_main | 准备上传 426 条记录...
2026-04-16 12:01:15,614 | INFO | temu_sale_main | 
上传统计:
2026-04-16 12:01:15,614 | INFO | temu_sale_main | 总记录数: 426
2026-04-16 12:01:15,615 | INFO | temu_sale_main | 成功数量: 426
2026-04-16 12:01:15,615 | INFO | temu_sale_main | 失败数量: 0
2026-04-16 12:01:15,615 | INFO | temu_sale_main | 成功批次: 9
2026-04-16 12:01:15,615 | INFO | temu_sale_main | 失败批次: 0
2026-04-16 12:01:15,615 | INFO | temu_sale_main | 数据上传成功
2026-04-16 12:01:18,625 | INFO | temu_sale_main | ⏱️  总耗时: 92.82 秒
