2026-06-18 11:01:11,407 | INFO | financial_data | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '55101', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 2792, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-06-18 11:01:11,408 | INFO | financial_data | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 55101
2026-06-18 11:01:13,223 | INFO | financial_data | --------------------------正在下载2026-05的数据------------------------------
2026-06-18 11:01:13,223 | INFO | financial_data | --------------正在爬取店铺2106-Temu全托管----的数据
2026-06-18 11:01:13,224 | INFO | financial_data | 2106-Temu全托管 - 第 1 次登录尝试
2026-06-18 11:01:16,230 | INFO | financial_data | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '55164', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 2623, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-06-18 11:01:16,230 | INFO | financial_data | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 55164
2026-06-18 11:01:17,730 | INFO | financial_data | 2106-Temu全托管 - 已连接浏览器
2026-06-18 11:01:41,270 | INFO | financial_data | --------------------------正在下载2026-01的数据------------------------------
2026-06-18 11:01:41,270 | INFO | financial_data | --------------正在爬取店铺2106-Temu全托管----的数据
2026-06-18 11:01:41,271 | INFO | financial_data | 2106-Temu全托管 - 第 1 次登录尝试
2026-06-18 11:01:41,767 | INFO | financial_data | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '55164', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 28161, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-06-18 11:01:41,767 | INFO | financial_data | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 55164
2026-06-18 11:01:43,142 | INFO | financial_data | 2106-Temu全托管 - 已连接浏览器
2026-06-18 11:01:43,428 | INFO | financial_data | --------------------2106-Temu全托管 ------------------------ 开始登录...
2026-06-18 11:01:46,409 | INFO | financial_data | 2106-Temu全托管 - 等待 agentseller Cookie 生效
2026-06-18 11:01:52,395 | INFO | financial_data | 2106-Temu全托管 - 进入财务页面
2026-06-18 11:01:58,246 | INFO | financial_data | 有数据，总共 566 条
2026-06-18 11:02:00,273 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-06-18 11:02:01,121 | INFO | financial_data | 最新记录时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:02:01,121 | INFO | financial_data | 目标时间范围: 2026-01-01 ~ 2026-01-31
2026-06-18 11:02:01,121 | INFO | financial_data | 2106-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-06-18 11:02:01,122 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\temu\2106-Temu全托管_01_卖家中心.xlsx
2026-06-18 11:02:02,123 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\2106-Temu全托管_01_全球.xlsx
2026-06-18 11:02:02,124 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\2106-Temu全托管_01_欧区.xlsx
2026-06-18 11:02:02,124 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\01月份\2106-Temu全托管_01_美国.xlsx
2026-06-18 11:02:02,124 | INFO | financial_data | ✅ 2106-Temu全托管 - 所有财务数据下载完成
