2025-12-26 18:06:12,993 | INFO | shopee_sale_data | [虾皮全托1501店] 第 2 页无数据，结束爬取
2025-12-26 18:06:12,993 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托507-lxz------------------
2025-12-26 18:06:12,993 | INFO | shopee_sale_data | [虾皮全托507-lxz] 正在爬取第 1 页
2025-12-26 18:06:20,055 | INFO | shopee_sale_data | [虾皮全托507-lxz] 第 1 页无数据，结束爬取
2025-12-26 18:06:20,055 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托506-kedi------------------
2025-12-26 18:06:20,055 | INFO | shopee_sale_data | [虾皮全托506-kedi] 正在爬取第 1 页
2025-12-26 18:06:28,874 | INFO | shopee_sale_data | 解析完成，共找到 16 条有效数据
2025-12-26 18:06:28,876 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:06:29,884 | INFO | shopee_sale_data | [虾皮全托506-kedi] 正在爬取第 2 页
2025-12-26 18:06:30,321 | INFO | shopee_sale_data | [虾皮全托506-kedi] 第 2 页无数据，结束爬取
2025-12-26 18:06:30,322 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托505-qipei------------------
2025-12-26 18:06:30,322 | INFO | shopee_sale_data | [虾皮全托505-qipei] 正在爬取第 1 页
2025-12-26 18:12:49,615 | INFO | shopee_sale_data | 程序开始启动
2025-12-26 18:12:49,615 | INFO | shopee_sale_data | --------------------------------开始爬取数据------------------------------------
2025-12-26 18:12:49,615 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托1501店------------------
2025-12-26 18:12:50,220 | INFO | shopee_sale_data | 解析完成，共找到 14 条有效数据
2025-12-26 18:12:50,223 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:12:51,670 | INFO | shopee_sale_data | [虾皮全托1501店] 第 2 页无数据，结束爬取
2025-12-26 18:12:51,671 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托507-lxz------------------
2025-12-26 18:12:52,077 | INFO | shopee_sale_data | [虾皮全托507-lxz] 第 1 页无数据，结束爬取
2025-12-26 18:12:52,078 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托506-kedi------------------
2025-12-26 18:12:52,787 | INFO | shopee_sale_data | 解析完成，共找到 16 条有效数据
2025-12-26 18:12:52,788 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:12:54,190 | INFO | shopee_sale_data | [虾皮全托506-kedi] 第 2 页无数据，结束爬取
2025-12-26 18:12:54,191 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托505-qipei------------------
2025-12-26 18:13:02,077 | INFO | shopee_sale_data | 解析完成，共找到 23 条有效数据
2025-12-26 18:13:02,077 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:13:03,514 | INFO | shopee_sale_data | [虾皮全托505-qipei] 第 2 页无数据，结束爬取
2025-12-26 18:13:03,515 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托504-huanchuang------------------
2025-12-26 18:13:11,649 | INFO | shopee_sale_data | [虾皮全托504-huanchuang] 第 1 页无数据，结束爬取
2025-12-26 18:13:11,650 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托503-juyule------------------
2025-12-26 18:13:19,965 | INFO | shopee_sale_data | 解析完成，共找到 50 条有效数据
2025-12-26 18:13:19,966 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:13:21,401 | INFO | shopee_sale_data | [虾皮全托503-juyule] 第 2 页无数据，结束爬取
2025-12-26 18:13:21,402 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托502-xiyue------------------
2025-12-26 18:13:30,415 | INFO | shopee_sale_data | 解析完成，共找到 43 条有效数据
2025-12-26 18:13:30,416 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:13:32,559 | INFO | shopee_sale_data | 解析完成，共找到 59 条有效数据
2025-12-26 18:13:32,561 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:13:44,259 | INFO | shopee_sale_data | 程序开始启动
2025-12-26 18:13:44,259 | INFO | shopee_sale_data | --------------------------------开始爬取数据------------------------------------
2025-12-26 18:13:44,259 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托1501店------------------
2025-12-26 18:13:44,977 | INFO | shopee_sale_data | 解析完成，共找到 14 条有效数据
2025-12-26 18:13:44,980 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:13:46,477 | INFO | shopee_sale_data | [虾皮全托1501店] 第 2 页无数据，结束爬取
2025-12-26 18:13:46,477 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托507-lxz------------------
2025-12-26 18:13:46,907 | INFO | shopee_sale_data | [虾皮全托507-lxz] 第 1 页无数据，结束爬取
2025-12-26 18:13:46,908 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托506-kedi------------------
2025-12-26 18:13:47,664 | INFO | shopee_sale_data | 解析完成，共找到 16 条有效数据
2025-12-26 18:13:47,664 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:13:49,086 | INFO | shopee_sale_data | [虾皮全托506-kedi] 第 2 页无数据，结束爬取
2025-12-26 18:13:49,087 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托505-qipei------------------
2025-12-26 18:13:49,875 | INFO | shopee_sale_data | 解析完成，共找到 23 条有效数据
2025-12-26 18:13:49,877 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
