2026-04-27 15:23:17,616 | INFO | chinese_financial_statements | 请求参数: shop_id=12430140, start=2026-03-01, end=2026-04-01
2026-04-27 15:23:17,617 | INFO | chinese_financial_statements | 请求参数: shop_id=14836828, start=2026-03-01, end=2026-04-01
2026-04-27 15:23:17,617 | INFO | chinese_financial_statements | 请求参数: shop_id=14836831, start=2026-03-01, end=2026-04-01
2026-04-27 15:23:36,183 | INFO | chinese_financial_statements | 请求参数: shop_id=12426494, start=2026-03-01, end=2026-04-01
2026-04-27 15:23:37,075 | INFO | chinese_financial_statements | 请求参数: shop_id=12430140, start=2026-03-01, end=2026-04-01
2026-04-27 15:23:38,099 | INFO | chinese_financial_statements | 请求参数: shop_id=14836828, start=2026-03-01, end=2026-04-01
2026-04-27 15:23:39,012 | INFO | chinese_financial_statements | 请求参数: shop_id=14836831, start=2026-03-01, end=2026-04-01
2026-04-27 15:26:35,708 | INFO | chinese_financial_statements | 请求参数: shop_id=12426494, start=2026-03-01, end=2026-04-01
2026-04-27 15:26:45,418 | INFO | chinese_financial_statements | 请求参数: shop_id=12430140, start=2026-03-01, end=2026-04-01
2026-04-27 15:26:46,557 | INFO | chinese_financial_statements | 请求参数: shop_id=14836828, start=2026-03-01, end=2026-04-01
2026-04-27 15:26:47,580 | INFO | chinese_financial_statements | 请求参数: shop_id=14836831, start=2026-03-01, end=2026-04-01
2026-04-27 15:34:25,120 | ERROR | chinese_financial_statements | [聚水潭] 请求失败（第 1 次）: Expecting value: line 1 column 1 (char 0)
2026-04-27 15:34:31,095 | ERROR | chinese_financial_statements | [聚水潭] 请求失败（第 2 次）: Expecting value: line 1 column 1 (char 0)
2026-04-27 15:34:35,683 | ERROR | chinese_financial_statements | [聚水潭] 请求失败（第 3 次）: Expecting value: line 1 column 1 (char 0)
2026-04-27 15:34:44,407 | ERROR | chinese_financial_statements | [聚水潭] 请求失败（第 1 次）: Expecting value: line 1 column 1 (char 0)
2026-04-27 15:55:42,127 | INFO | chinese_financial_statements | 请求参数: shop_id=12426494, start=2026-03-01, end=2026-04-01
2026-04-27 15:55:49,363 | INFO | chinese_financial_statements | 请求参数: shop_id=12430140, start=2026-03-01, end=2026-04-01
2026-04-27 15:55:54,546 | INFO | chinese_financial_statements | 请求参数: shop_id=14836828, start=2026-03-01, end=2026-04-01
2026-04-27 15:56:01,355 | INFO | chinese_financial_statements | 请求参数: shop_id=14836831, start=2026-03-01, end=2026-04-01
